player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
Seong Hyun Shin,Doosan Bears,2018,0.037037037037037035,Doosan Bears-2018-Seong Hyun Shin,R,R,"6' 0""",202,27,16,27,24,5,4,0,0,1,2,0,0,2,9,0.167,0.222,0.292,0,0.514,7,1,0,0,1
Scott Van Slyke,Doosan Bears,2018,0.022727272727272728,Doosan Bears-2018-Scott Van Slyke,R,R,"6' 4""",215,31,12,44,39,1,5,1,0,1,4,0,0,4,6,0.128,0.205,0.231,0,0.435,9,2,0,0,1
Jong Min Yang,Doosan Bears,2018,0.0,Doosan Bears-2018-Jong Min Yang,R,R,"5' 11""",178,27,21,15,14,5,4,0,1,0,1,0,0,1,5,0.286,0.333,0.429,0,0.762,6,1,0,0,0
Ui-ji Yang,Doosan Bears,2018,0.04572564612326044,Doosan Bears-2018-Ui-ji Yang,R,R,"5' 11""",188,31,133,503,439,84,157,29,1,23,77,6,0,45,40,0.358,0.427,0.585,6,1.013,257,13,13,0,6
Dong Hoon Baek,Doosan Bears,2019,0.0,Doosan Bears-2019-Dong Hoon Baek,R,R,"6' 0""",216,28,41,52,47,8,8,2,0,0,2,0,1,4,16,0.17,0.25,0.213,0,0.463,10,0,1,0,0
Joo Hwan Choi,Doosan Bears,2019,0.012307692307692308,Doosan Bears-2019-Joo Hwan Choi,L,R,"5' 10""",160,31,87,325,285,27,79,13,0,4,47,0,0,28,35,0.277,0.332,0.365,0,0.697,104,10,1,0,11
Jose Miguel Fernandez,Doosan Bears,2019,0.023255813953488372,Doosan Bears-2019-Jose Miguel Fernandez,L,R,"5' 10""",185,31,144,645,572,87,197,34,0,15,88,1,2,61,54,0.344,0.409,0.483,4,0.892,276,16,6,0,6
Kyeong-min Ho,Doosan Bears,2019,0.007407407407407408,Doosan Bears-2019-Kyeong-min Ho,R,R,"5' 9""",185,28,133,540,475,71,137,25,1,4,60,11,5,34,36,0.288,0.35,0.371,2,0.721,176,16,17,3,11
Seung Hyun Jang,Doosan Bears,2019,0.0,Doosan Bears-2019-Seung Hyun Jang,R,R,"6' 0""",189,25,35,46,41,3,7,2,0,0,3,0,0,3,13,0.171,0.239,0.22,0,0.459,9,0,1,0,1
Byoung Gon Jung,Doosan Bears,2019,0.0,Doosan Bears-2019-Byoung Gon Jung,R,R,"5' 8""",160,31,20,31,27,6,5,1,0,0,4,0,0,2,4,0.185,0.29,0.222,0,0.513,6,2,2,0,0
Jin Ho Jung,Doosan Bears,2019,0.00909090909090909,Doosan Bears-2019-Jin Ho Jung,L,R,"6' 0""",171,30,66,110,96,13,20,0,0,1,3,5,2,11,24,0.208,0.29,0.24,0,0.529,23,2,0,3,0
Soo Bin Jung,Doosan Bears,2019,0.0,Doosan Bears-2019-Soo Bin Jung,L,L,"5' 8""",154,28,123,513,441,75,117,19,5,0,41,26,8,57,60,0.265,0.354,0.331,0,0.685,146,6,6,4,5
Dae Han Kim,Doosan Bears,2019,0.0,Doosan Bears-2019-Dae Han Kim,R,R,"6' 0""",182,18,19,18,15,4,0,0,0,0,0,0,0,3,9,0.0,0.167,0.0,0,0.167,0,0,0,0,0
Gyeong Ho Kim,Doosan Bears,2019,0.0,Doosan Bears-2019-Gyeong Ho Kim,L,R,"5' 10""",149,23,32,27,26,4,5,1,0,0,2,0,0,0,7,0.192,0.192,0.231,0,0.423,6,0,0,1,0
In Tae Kim,Doosan Bears,2019,0.02857142857142857,Doosan Bears-2019-In Tae Kim,L,L,"5' 10""",171,24,26,70,60,6,14,2,1,2,7,1,1,8,12,0.233,0.319,0.4,0,0.719,24,2,0,1,1
